product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Pain d'épices maison	Sachet	E.Leclerc	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:gingerbreads	Farine de froment, amidon de froment, poudre de beurre, poudre de lait entier, levain de froment dévitalisé, émulsifiants (E471, E481), poudre à lever (E500ii, E450i), blanc d'œuf en poudre, sel, épices (0,4%), arôme, miel toutes fleurs, eau	e	b
Beignets framboise			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts,en:doughnuts-filled-with-fruits,en:sweet-fritters,fr:beignets-fourres-a-la-framboise		c	b
Les Milanaises (Chapelure Nature)	Frais,Sous-vide	Le Gaulois	en:meats-and-their-products,en:meats,en:meat-preparations,en:poultries,en:turkey-and-its-products,en:breaded-products,en:cooked-poultries,en:turkeys,en:breaded-meat-cutlets,en:turkey-cutlets,en:turkey-preparations,en:breaded-turkey,en:breaded-turkey-cutlets	Escalope de dinde origine France : 88%, chapelure de blé : 8% (farine de blé, levure, sel), eau, sel, extraits d'épices, acidifiants : acétate de sodium, lactate de calcium.	a	d
2 Filets de Poulet fermier	Barquette, Barquette; plastique, Film en plastique	Loué	en:meats-and-their-products,en:meats,en:prepared-meats,en:chicken-and-its-products,en:poultries,en:chickens,fr:charcuteries-cuites,en:chicken-breasts	Poulet	a	d
Grignottes de poulet cuites	Plastique, Barquette	Le Gaulois	fr:viandes-de-poulet	manchons de poulet 87%, eau, dextrose de blé, fécule de pomme de terre; sel, arôme naturel, carraghénanes	d	unknown
L'Extra Tendre Filet de Poulet Mariné	Plastique, Frais	Le Gaulois	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-breasts	Filet de poulet : 92%, eau, sel, extraits d'épices, acidifiants : acétate de sodium, lactate de calcium	a	c
Filets de poulet extra tendre	Sachet, Film	Le Gaulois	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-breasts	Filets de poulet origine France 92%, eau, sel, extraits d'épices, dextrose de _blé_, extrait de levure, arômes naturels, acidifiant acétate de sodium, antioxydant (ascorbate de sodium)	b	c
Cuisses de poulet rôties	Plastique, Barquette, Sous-vide	Leader Price	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens	Cuisses de poulet 87% - eau - sel - sucre roux - sirop de glucose - protéines de pois - épaississant : carraghénanes	c	d
Cuisses de poulet roti		Le Gaulois	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-thighs	Cuisses de poulet origine France, eau, sel, sucre roux, sirop de glucose de blé, protéines de pois, Fibres de carotte, épaississant : carraghénanes. 107 g de cuisses de poulet mis en Œuvre pour 100 g de produit fini.	c	d
Cuisses de Poulet Rôties 	Plastique, Frais, Opercule, Barquette, Film plastique	Le Gaulois	en:meats-and-their-products,en:meals,en:meats,en:fresh-foods,en:chicken-and-its-products,en:poultries,en:chickens,en:cooked-poultries,en:cooked-chicken,en:microwave-meals,fr:cuisses-de-poulet-roties	Cuisses de poulet 87 %, eau, sel, sucre roux, sirop de glucose de blé, protéines de pois, épaississants : carraghénanes.	c	c
